debate_id,date,file_name,major_heading_text,colnum,time,url
uk.org.publicwhip/debate/2021-06-21d.712.0,2021-06-21,debates2021-06-21d.xml,UK’s Financial Services Industry,712,21:50:00,""
uk.org.publicwhip/debate/2021-07-20b.827.0,2021-07-20,debates2021-07-20b.xml,Nationality and Borders Bill,827,13:34:00,""
uk.org.publicwhip/debate/2021-07-21a.977.0,2021-07-21,debates2021-07-21a.xml,Northern Ireland Protocol,977,12:49:00,""
uk.org.publicwhip/debate/2021-10-27a.288.1,2021-10-27,debates2021-10-27a.xml,Income Tax (Charge),288,12:34:00,""
uk.org.publicwhip/debate/2022-02-08a.823.1,2022-02-08,debates2022-02-08a.xml,Cost of Living and Food Insecurity,823,13:25:00,""
uk.org.publicwhip/debate/2022-02-09b.932.4,2022-02-09,debates2022-02-09b.xml,Prime Minister,932,"",""
uk.org.publicwhip/debate/2022-02-28a.873.0,2022-02-28,debates2022-02-28a.xml,Business of the House,873,23:30:00,""
uk.org.publicwhip/debate/2022-06-09c.943.0,2022-06-09,debates2022-06-09c.xml,Northern Ireland Protocol: First Treasury Counsel,943,"",""
uk.org.publicwhip/debate/2022-07-07a.1074.0,2022-07-07,debates2022-07-07a.xml,Alcohol Taxation,1074,14:29:00,""
uk.org.publicwhip/debate/2022-07-20b.999.0,2022-07-20,debates2022-07-20b.xml,Northern Ireland Protocol Bill,999,14:52:00,""
uk.org.publicwhip/debate/2022-09-07c.268.0,2022-09-07,debates2022-09-07c.xml,Business of the House,268,13:31:00,""
uk.org.publicwhip/debate/2022-09-07c.346.5,2022-09-07,debates2022-09-07c.xml,Delegated Legislation,346,18:48:00,""
uk.org.publicwhip/debate/2022-09-23a.933.0,2022-09-23,debates2022-09-23a.xml,Prayers -,933,"",
uk.org.publicwhip/debate/2022-10-25a.129.4,2022-10-25,debates2022-10-25a.xml,"Business, Energy and Industrial Strategy",129,"",""
uk.org.publicwhip/debate/2022-11-17d.825.0,2022-11-17,debates2022-11-17d.xml,G20,825,"",""
uk.org.publicwhip/debate/2022-12-14c.1115.0,2022-12-14,debates2022-12-14c.xml,Small Boats Incident in the Channel,1115,"",""
uk.org.publicwhip/debate/2019-03-11c.75.0,2019-03-11,debates2019-03-11c.xml,COMMONWEALTH DAY,75,17:39:00,""
uk.org.publicwhip/debate/2019-03-19a.961.0,2019-03-19,debates2019-03-19a.xml,EXITING THE EUROPEAN UNION  (FOOD AND AGRICULTURE),961,14:05:00,""
uk.org.publicwhip/debate/2019-03-20b.1073.0,2019-03-20,debates2019-03-20b.xml,NO-DEAL EU EXIT PREPARATIONS,1073,13:34:00,""
uk.org.publicwhip/debate/2019-03-25c.146.1,2019-03-25,debates2019-03-25c.xml,Delegated Legislation,146,22:14:00,""
uk.org.publicwhip/debate/2019-04-09c.205.0,2019-04-09,debates2019-04-09c.xml,EXITING THE EUROPEAN UNION (SANCTIONS),205,14:03:00,""
uk.org.publicwhip/debate/2019-05-01c.209.0,2019-05-01,debates2019-05-01c.xml,BRITISH STEEL: EU EMISSIONS TRADING COMPLIANCE,209,"",""
uk.org.publicwhip/debate/2019-05-07a.497.0,2019-05-07,debates2019-05-07a.xml,WILD ANIMALS IN CIRCUSES (NO. 2) BILL,497,18:19:00,""
uk.org.publicwhip/debate/2019-06-05a.123.1,2019-06-05,debates2019-06-05a.xml,CABINET OFFICE,123,"",""
uk.org.publicwhip/debate/2019-06-12e.647.0,2019-06-12,debates2019-06-12e.xml,PRIME MINISTER,647,"",""
uk.org.publicwhip/debate/2019-06-13b.799.1,2019-06-13,debates2019-06-13b.xml,TRANSPORT,799,"",""
uk.org.publicwhip/debate/2019-06-24b.488.0,2019-06-24,debates2019-06-24b.xml,Points of Order,488,15:47:00,""
uk.org.publicwhip/debate/2019-07-01c.946.0,2019-07-01,debates2019-07-01c.xml,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,946,16:37:00,""
uk.org.publicwhip/debate/2019-07-10c.295.1,2019-07-10,debates2019-07-10c.xml,CABINET OFFICE,295,"",""
uk.org.publicwhip/debate/2019-09-09c.475.1,2019-09-09,debates2019-09-09c.xml,Education,475,"",""
uk.org.publicwhip/debate/2019-10-17c.463.0,2019-10-17,debates2019-10-17c.xml,Business of the House,463,10:43:00,""
uk.org.publicwhip/debate/2019-10-21e.721.0,2019-10-21,debates2019-10-21e.xml,Northern Ireland: Restoring Devolution,721,16:18:00,""
uk.org.publicwhip/debate/2019-10-21e.769.0,2019-10-21,debates2019-10-21e.xml,Business of the House,769,19:17:00,""
uk.org.publicwhip/debate/2019-10-22d.791.3,2019-10-22,debates2019-10-22d.xml,"Business, Energy and Industrial Strategy",791,"",""
uk.org.publicwhip/debate/2019-10-24c.1103.1,2019-10-24,debates2019-10-24c.xml,Transport,1103,"",""
uk.org.publicwhip/debate/2019-11-05b.625.1,2019-11-05,debates2019-11-05b.xml,Foreign and Commonwealth Office,625,"",""
uk.org.publicwhip/debate/2019-11-05b.684.0,2019-11-05,debates2019-11-05b.xml,Valedictory Debate,684,14:49:00,""
uk.org.publicwhip/debate/2019-12-19c.30.2,2019-12-19,debates2019-12-19c.xml,Bill Presented,30,14:32:00,""
uk.org.publicwhip/debate/2020-01-21a.151.1,2020-01-21,debates2020-01-21a.xml,"Business, Energy and Industrial Strategy",151,"",""
uk.org.publicwhip/debate/2020-01-30b.960.0,2020-01-30,debates2020-01-30b.xml,Global Britain,960,12:09:00,""
uk.org.publicwhip/debate/2020-02-25d.159.1,2020-02-25,debates2020-02-25d.xml,MINISTRY OF JUSTICE,159,"",""
uk.org.publicwhip/debate/2020-03-23a.102.0,2020-03-23,debates2020-03-23a.xml,Coronavirus Bill,102,19:52:00,""
uk.org.publicwhip/debate/2020-05-12d.109.3,2020-05-12,debates2020-05-12d.xml,International Trade,109,"",""
uk.org.publicwhip/debate/2020-05-13b.276.0,2020-05-13,debates2020-05-13b.xml,Agriculture Bill,276,13:54:00,""
uk.org.publicwhip/debate/2020-06-23b.1219.0,2020-06-23,debates2020-06-23b.xml,Medicines and Medical Devices Bill,1219,15:38:00,""
uk.org.publicwhip/debate/2020-07-09c.1228.0,2020-07-09,debates2020-07-09c.xml,Petition - Establishment of a Food Standards Commission,1228,17:00:00,""
uk.org.publicwhip/debate/2020-07-16c.1651.3,2020-07-16,debates2020-07-16c.xml,Cabinet Office,1651,"",""
uk.org.publicwhip/debate/2020-09-02b.215.0,2020-09-02,debates2020-09-02b.xml,Private International Law (Implementation of Agreements) Bill [Lords],215,15:04:00,""
uk.org.publicwhip/debate/2020-10-14c.353.6,2020-10-14,debates2020-10-14c.xml,Wales,353,"",""
uk.org.publicwhip/debate/2020-11-04e.301.3,2020-11-04,debates2020-11-04e.xml,Northern Ireland,301,"",""
uk.org.publicwhip/debate/2020-11-09b.656.0,2020-11-09,debates2020-11-09b.xml,Financial Services Bill,656,18:21:00,""
uk.org.publicwhip/debate/2020-11-12b.1129.0,2020-11-12,debates2020-11-12b.xml,Smokefree England:  Covid-19 and PHE Abolition,1129,15:22:00,""
uk.org.publicwhip/debate/2020-11-24c.796.3,2020-11-24,debates2020-11-24c.xml,Delegated Legislation,796,19:01:00,""
uk.org.publicwhip/debate/2020-11-30b.38.0,2020-11-30,debates2020-11-30b.xml,Agricultural Transition Plan,38,16:23:00,""
uk.org.publicwhip/debate/2020-12-10b.1005.0,2020-12-10,debates2020-12-10b.xml,Business of the House,1005,11:34:00,""
uk.org.publicwhip/debate/2020-12-14b.66.0,2020-12-14,debates2020-12-14b.xml,Covid-19,66,18:11:00,""
uk.org.publicwhip/debate/2020-12-16b.338.0,2020-12-16,debates2020-12-16b.xml,United Kingdom Internal Market Bill,338,16:27:00,""
uk.org.publicwhip/debate/2021-01-11c.1.3,2021-01-11,debates2021-01-11c.xml,"Housing, Communities and Local Government",1,"",""
uk.org.publicwhip/debate/2021-01-13b.425.0,2021-01-13,debates2021-01-13b.xml,Sittings in Westminster Hall  (Suspension) (No. 2),425,18:51:00,""
uk.org.publicwhip/debate/2021-01-13b.443.4,2021-01-13,debates2021-01-13b.xml,Delegated Legislation,443,19:55:00,""
uk.org.publicwhip/debate/2021-03-02c.163.0,2021-03-02,debates2021-03-02c.xml,Covid-19: Cultural and Entertainment Sectors,163,15:26:00,""
uk.org.publicwhip/debate/2014-02-03b.1.1,2014-02-03,debates2014-02-03b.xml,DEFENCE,1,14:30:00,"http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140203/debtext/140203-0001.htm#skipToContent"
debates2014-02-28a.xml_default,2014-02-28,debates2014-02-28a.xml,,,,
uk.org.publicwhip/debate/2014-03-10a.1.1,2014-03-10,debates2014-03-10a.xml,HOME DEPARTMENT,1,14:30:00,"http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140310/debtext/140310-0001.htm#skipToContent"
uk.org.publicwhip/debate/2014-04-10a.395.1,2014-04-10,debates2014-04-10a.xml,"BUSINESS, INNOVATION AND SKILLS",395,09:30:00,"http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm140410/debtext/140410-0001.htm#skipToContent"
uk.org.publicwhip/debate/2014-10-16a.453.0,2014-10-16,debates2014-10-16a.xml,Business of the House,453,010:35:00,"http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm141016/debtext/141016-0001.htm#141016-0001.htm_spnew152"
uk.org.publicwhip/debate/2014-10-16a.555.0,2014-10-16,debates2014-10-16a.xml,UK GOVERNMENT: SCOTLAND,555,016:58:00,"http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm141016/debtext/141016-0004.htm#141016-0004.htm_para36"
uk.org.publicwhip/debate/2014-11-27a.1071.3,2014-11-27,debates2014-11-27a.xml,WOMEN AND EQUALITIES,1071,09:30:00,"http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm141127/debtext/141127-0001.htm#141127-0001.htm_spnew90"
uk.org.publicwhip/debate/2014-12-10a.864.0,2014-12-10,debates2014-12-10a.xml,PRIME MINISTER,864,11:30:00,"http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm141210/debtext/141210-0001.htm#141210-0001.htm_spnew47"
uk.org.publicwhip/debate/2014-12-11a.1003.0,2014-12-11,debates2014-12-11a.xml,Backbench Business,1003,011:10:00,"http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm141211/debtext/141211-0001.htm#141211-0001.htm_spnew171"
uk.org.publicwhip/debate/2015-03-04b.927.1,2015-03-04,debates2015-03-04b.xml,WALES,927,11:30:00,"http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm150304/debtext/150304-0001.htm#skipToContent"
uk.org.publicwhip/debate/2015-06-02b.435.3,2015-06-02,debates2015-06-02b.xml,HEALTH,435,11:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm150602/debtext/150602-0001.htm#150602-0001.htm_para2"
uk.org.publicwhip/debate/2015-06-16c.163.1,2015-06-16,debates2015-06-16c.xml,TREASURY,163,11:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm150616/debtext/150616-0001.htm#skipToContent"
uk.org.publicwhip/debate/2015-06-30a.1339.0,2015-06-30,debates2015-06-30a.xml,Scotland Bill,1339,012:35:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm150630/debtext/150630-0001.htm#150630-0001.htm_para13"
uk.org.publicwhip/debate/2015-10-15a.498.0,2015-10-15,debates2015-10-15a.xml,Business of the House,498,010:31:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm151015/debtext/151015-0001.htm#151015-0001.htm_spnew141"
uk.org.publicwhip/debate/2015-10-21b.959.5,2015-10-21,debates2015-10-21b.xml,"BILL PRESENTED
	 — 
	Sugar in Food and Drinks (Targets, Labelling and Advertising) Bill",959,012:37:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm151021/debtext/151021-0001.htm#151021-0001.htm_spnew84"
uk.org.publicwhip/debate/2015-11-10a.201.1,2015-11-10,debates2015-11-10a.xml,"BUSINESS, INNOVATION AND SKILLS",201,11:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm151110/debtext/151110-0001.htm#skipToContent"
uk.org.publicwhip/debate/2015-11-30d.1.4,2015-11-30,debates2015-11-30d.xml,EDUCATION,1,"",""
uk.org.publicwhip/debate/2015-12-09b.974.3,2015-12-09,debates2015-12-09b.xml,CABINET OFFICE,974,11:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm151209/debtext/151209-0001.htm#151209-0001.htm_para4"
uk.org.publicwhip/debate/2015-12-15b.1383.2,2015-12-15,debates2015-12-15b.xml,"BUSINESS, INNOVATION AND SKILLS",1383,11:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm151215/debtext/151215-0001.htm#skipToContent"
uk.org.publicwhip/debate/2016-01-05d.26.0,2016-01-05,debates2016-01-05d.xml,EU Council,26,015:35:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm160105/debtext/160105-0001.htm#ordayhd_1"
uk.org.publicwhip/debate/2016-01-07b.435.0,2016-01-07,debates2016-01-07b.xml,Business of the House,435,09:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm160107/debtext/160107-0001.htm#ordayhd_0"
uk.org.publicwhip/debate/2016-01-27d.249.1,2016-01-27,debates2016-01-27d.xml,CABINET OFFICE,249,11:30:00,"http://www.publications.parliament.uk/pa/cm201516/cmhansrd/cm160127/debtext/160127-0001.htm#160127-0001.htm_dpthd0"
uk.org.publicwhip/debate/2016-04-27b.1471.0,2016-04-27,debates2016-04-27b.xml,TRADE UNION BILL,1471,14:51:00,""
uk.org.publicwhip/debate/2016-05-10a.517.4,2016-05-10,debates2016-05-10a.xml,HEALTH,517,"",""
uk.org.publicwhip/debate/2016-05-10a.564.3,2016-05-10,debates2016-05-10a.xml,"HARBOURS, DOCKS AND PIERS CLAUSES  ACT 1847 (AMENDMENT)",564,11:57:00,""
uk.org.publicwhip/debate/2016-05-11b.616.0,2016-05-11,debates2016-05-11b.xml,PRIME MINISTER,616,"",""
uk.org.publicwhip/debate/2016-05-11b.655.0,2016-05-11,debates2016-05-11b.xml,PENSIONS UPRATING (UK PENSIONERS  LIVING OVERSEAS),655,13:57:00,""
uk.org.publicwhip/debate/2016-05-25b.527.4,2016-05-25,debates2016-05-25b.xml,PRIME MINISTER,527,"",""
uk.org.publicwhip/debate/2016-05-26b.731.2,2016-05-26,debates2016-05-26b.xml,DEBATE ON THE ADDRESS,731,12:59:00,""
uk.org.publicwhip/debate/2016-06-08a.1171.1,2016-06-08,debates2016-06-08a.xml,NORTHERN IRELAND,1171,"",""
uk.org.publicwhip/debate/2016-06-08a.1180.3,2016-06-08,debates2016-06-08a.xml,PRIME MINISTER,1180,"",""
uk.org.publicwhip/debate/2016-06-09b.1315.1,2016-06-09,debates2016-06-09b.xml,"CULTURE, MEDIA AND SPORT",1315,"",""
uk.org.publicwhip/debate/2016-06-29d.345.0,2016-06-29,debates2016-06-29d.xml,UK ECONOMY,345,14:43:00,""
uk.org.publicwhip/debate/2016-07-04a.606.6,2016-07-04,debates2016-07-04a.xml,EU NATIONALS: UK RESIDENCE,606,"",""
uk.org.publicwhip/debate/2016-07-14c.405.1,2016-07-14,debates2016-07-14c.xml,ENERGY AND CLIMATE CHANGE,405,"",""
uk.org.publicwhip/debate/2016-07-19c.795.3,2016-07-19,debates2016-07-19c.xml,DELEGATED LEGISLATION,795,18:45:00,""
uk.org.publicwhip/debate/2016-07-20b.833.8,2016-07-20,debates2016-07-20b.xml,ELECTORAL REFORM (PROPORTIONAL REPRESENTATION AND REDUCTION OF VOTING AGE),833,12:39:00,""
uk.org.publicwhip/debate/2016-09-08a.485.0,2016-09-08,debates2016-09-08a.xml,BUSINESS OF THE HOUSE,485,10:43:00,""
uk.org.publicwhip/debate/2016-09-14c.925.0,2016-09-14,debates2016-09-14c.xml,SOCIAL SECURITY,925,13:52:00,""
uk.org.publicwhip/debate/2016-10-19c.795.4,2016-10-19,debates2016-10-19c.xml,PRIME MINISTER,795,"",""
uk.org.publicwhip/debate/2016-11-02b.879.9,2016-11-02,debates2016-11-02b.xml,PRIME MINISTER,879,"",""
uk.org.publicwhip/debate/2016-11-17b.394.5,2016-11-17,debates2016-11-17b.xml,BUSINESS OF THE HOUSE,394,10:35:00,""
uk.org.publicwhip/debate/2016-11-23c.899.0,2016-11-23,debates2016-11-23c.xml,AUTUMN STATEMENT,899,"",""
uk.org.publicwhip/debate/2016-11-24a.1003.4,2016-11-24,debates2016-11-24a.xml,"ENVIRONMENT, FOOD AND RURAL AFFAIRS",1003,"",""
uk.org.publicwhip/debate/2016-11-28a.1267.0,2016-11-28,debates2016-11-28a.xml,DIGITAL ECONOMY BILL,1267,16:44:00,""
uk.org.publicwhip/debate/2016-12-08b.349.1,2016-12-08,debates2016-12-08b.xml,ATTORNEY GENERAL,349,"",""
uk.org.publicwhip/debate/2016-12-14a.797.1,2016-12-14,debates2016-12-14a.xml,NATIONAL FUNDING FORMULA:  SCHOOLS/HIGH NEEDS,797,"",""
uk.org.publicwhip/debate/2016-12-15a.957.0,2016-12-15,debates2016-12-15a.xml,BUSINESS OF THE HOUSE,957,"",""
uk.org.publicwhip/debate/2017-02-02b.1161.6,2017-02-02,debates2017-02-02b.xml,WOMEN AND EQUALITIES,1161,"",""
uk.org.publicwhip/debate/2017-03-08c.823.0,2017-03-08,debates2017-03-08c.xml,AMENDMENT OF THE LAW,823,12:35:00,""
uk.org.publicwhip/debate/2017-03-20a.655.1,2017-03-20,debates2017-03-20a.xml,PRISONS AND COURTS BILL,655,16:16:00,""
uk.org.publicwhip/debate/2017-03-23b.903.4,2017-03-23,debates2017-03-23b.xml,THE SECRETARY OF STATE WAS ASKED—,903,"",""
uk.org.publicwhip/debate/2017-03-29c.250.5,2017-03-29,debates2017-03-29c.xml,ARTICLE 50,250,"",""
uk.org.publicwhip/debate/2017-03-30a.379.4,2017-03-30,debates2017-03-30a.xml,TRANSPORT,379,"",""
uk.org.publicwhip/debate/2017-04-26a.1121.4,2017-04-26,debates2017-04-26a.xml,DIGITAL ECONOMY BILL,1121,13:09:00,""
uk.org.publicwhip/debate/2017-07-06b.1356.0,2017-07-06,debates2017-07-06b.xml,EXITING THE EUROPEAN UNION AND GLOBAL TRADE,1356,12:15:00,""
uk.org.publicwhip/debate/2017-07-20d.1002.0,2017-07-20,debates2017-07-20d.xml,BUSINESS OF THE HOUSE,1002,11:07:00,""
uk.org.publicwhip/debate/2017-09-06c.176.4,2017-09-06,debates2017-09-06c.xml,NATIONAL SHIPBUILDING STRATEGY,176,13:30:00,""
uk.org.publicwhip/debate/2017-09-12a.639.0,2017-09-12,debates2017-09-12a.xml,HURRICANE IRMA: GOVERNMENT RESPONSE,639,"",""
uk.org.publicwhip/debate/2017-09-13b.830.7,2017-09-13,debates2017-09-13b.xml,PRIME MINISTER,830,"",""
uk.org.publicwhip/debate/2017-10-16a.616.2,2017-10-16,debates2017-10-16a.xml,NUCLEAR SAFEGUARDS BILL,616,17:24:00,""
uk.org.publicwhip/debate/2017-11-28b.195.0,2017-11-28,debates2017-11-28b.xml,BUDGET RESOLUTIONS - INCOME TAX (CHARGE),195,14:12:00,""
uk.org.publicwhip/debate/2017-11-29c.366.0,2017-11-29,debates2017-11-29c.xml,STATE PENSION AGE: WOMEN,366,14:41:00,""
uk.org.publicwhip/debate/2017-12-06b.1044.0,2017-12-06,debates2017-12-06b.xml,EUROPEAN UNION (WITHDRAWAL) BILL,1044,13:03:00,""
uk.org.publicwhip/debate/2017-12-07b.1248.0,2017-12-07,debates2017-12-07b.xml,PRISON REFORM AND SAFETY,1248,12:36:00,""
uk.org.publicwhip/debate/2017-12-11c.1.1,2017-12-11,debates2017-12-11c.xml,EDUCATION,1,"",""
uk.org.publicwhip/debate/2017-12-13b.377.1,2017-12-13,debates2017-12-13b.xml,WALES,377,"",""
uk.org.publicwhip/debate/2017-12-18b.805.0,2017-12-18,debates2017-12-18b.xml,FINANCE (NO. 2) BILL,805,17:54:00,""
uk.org.publicwhip/debate/2018-02-01c.953.1,2018-02-01,debates2018-02-01c.xml,EXITING THE EUROPEAN UNION,953,"",""
uk.org.publicwhip/debate/2018-02-22a.367.0,2018-02-22,debates2018-02-22a.xml,DISABLED PEOPLE AND ECONOMIC GROWTH,367,12:16:00,""
uk.org.publicwhip/debate/2018-02-28b.817.0,2018-02-28,debates2018-02-28b.xml,PRIME MINISTER,817,"",""
uk.org.publicwhip/debate/2018-03-19b.79.0,2018-03-19,debates2018-03-19b.xml,OTHER PROCEEDINGS,79,18:40:00,""
uk.org.publicwhip/debate/2018-03-20b.162.8,2018-03-20,debates2018-03-20b.xml,LEAVING THE EU: FISHERIES MANAGEMENT,162,"",""
uk.org.publicwhip/debate/2018-03-20b.195.0,2018-03-20,debates2018-03-20b.xml,NORTHERN IRELAND BUDGET (ANTICIPATION AND ADJUSTMENTS) BILL,195,14:02:00,""
uk.org.publicwhip/debate/2018-03-21a.284.1,2018-03-21,debates2018-03-21a.xml,NHS STAFF PAY,284,"",""
uk.org.publicwhip/debate/2018-03-26a.512.1,2018-03-26,debates2018-03-26a.xml,UK PASSPORT CONTRACT,512,"",""
uk.org.publicwhip/debate/2018-03-28c.737.6,2018-03-28,debates2018-03-28c.xml,CABINET OFFICE,737,"",""
uk.org.publicwhip/debate/2018-04-26b.993.1,2018-04-26,debates2018-04-26b.xml,"ENVIRONMENT, FOOD AND RURAL AFFAIRS",993,"",""
uk.org.publicwhip/debate/2018-04-26b.1053.0,2018-04-26,debates2018-04-26b.xml,CUSTOMS AND BORDERS,1053,12:13:00,""
uk.org.publicwhip/debate/2018-05-15c.189.0,2018-05-15,debates2018-05-15c.xml,RATING (PROPERTY IN COMMON OCCUPATION) AND COUNCIL TAX (EMPTY DWELLINGS) BILL,189,15:21:00,""
uk.org.publicwhip/debate/2018-06-06b.317.0,2018-06-06,debates2018-06-06b.xml,RETAIL SECTOR,317,12:55:00,""
uk.org.publicwhip/debate/2018-06-20a.309.4,2018-06-20,debates2018-06-20a.xml,NORTHERN IRELAND,309,"",""
uk.org.publicwhip/debate/2018-06-20a.319.7,2018-06-20,debates2018-06-20a.xml,PRIME MINISTER,319,"",""
uk.org.publicwhip/debate/2018-06-21c.473.2,2018-06-21,debates2018-06-21c.xml,BUSINESS OF THE HOUSE,473,10:35:00,""
uk.org.publicwhip/debate/2018-06-27a.873.1,2018-06-27,debates2018-06-27a.xml,CHANCELLOR OF THE DUCHY OF LANCASTER AND MINISTER FOR THE CABINET OFFICE,873,"",""
uk.org.publicwhip/debate/2018-06-27a.915.0,2018-06-27,debates2018-06-27a.xml,OFFENSIVE WEAPONS BILL,915,13:29:00,""
uk.org.publicwhip/debate/2018-09-11b.581.4,2018-09-11,debates2018-09-11b.xml,TREASURY,581,"",""
uk.org.publicwhip/debate/2018-10-16a.567.0,2018-10-16,debates2018-10-16a.xml,OVERSEAS ELECTORS BILL: MONEY,567,16:00:00,""
uk.org.publicwhip/debate/2018-10-30c.788.0,2018-10-30,debates2018-10-30c.xml,BUDGET RESOLUTIONS - INCOME TAX (CHARGE),788,12:51:00,""
uk.org.publicwhip/debate/2018-11-13b.157.1,2018-11-13,debates2018-11-13b.xml,JUSTICE,157,"",""
uk.org.publicwhip/debate/2018-11-29d.387.4,2018-11-29,debates2018-11-29d.xml,"Environment, Food and Rural Affairs",387,"",""
uk.org.publicwhip/debate/2018-12-05b.895.3,2018-12-05,debates2018-12-05b.xml,IMMIGRATION (TIME LIMIT ON DETENTION),895,12:55:00,""
uk.org.publicwhip/debate/2018-12-20b.987.2,2018-12-20,debates2018-12-20b.xml,DEATHS OF HOMELESS PEOPLE,987,"",""
uk.org.publicwhip/debate/2019-01-14b.982.0,2019-01-14,debates2019-01-14b.xml,ST ROLLOX RAILWAY WORKS: CLOSURE,982,01:47:00,""
uk.org.publicwhip/debate/2019-01-15b.1019.0,2019-01-15,debates2019-01-15b.xml,EUROPEAN UNION (WITHDRAWAL) ACT,1019,12:47:00,""
uk.org.publicwhip/debate/2019-01-17a.1341.2,2019-01-17,debates2019-01-17a.xml,NUCLEAR UPDATE,1341,10:36:00,""
uk.org.publicwhip/debate/2019-01-21a.1.1,2019-01-21,debates2019-01-21a.xml,HOME DEPARTMENT,1,"",""
uk.org.publicwhip/debate/2019-01-28b.457.1,2019-01-28,debates2019-01-28b.xml,"HOUSING, COMMUNITIES AND LOCAL GOVERNMENT",457,"",""
uk.org.publicwhip/debate/2019-01-30a.917.0,2019-01-30,debates2019-01-30a.xml,DEFERRED DIVISIONS,917,17:55:00,""
